",""COD.IBGE7"",""REGIÃO"",""UF"",""PORTE"",""MUNICÍPIO"",""falha em educaçãoo"",""ANO_FALHA"",""tempofalha"",""serv_esta_med"",""serv_per_cap_med"",""Conselho edu criação"",""idad_Conselho edu"",""Falha_ant_Consel"",""soma contratos"",""NEP"",""Ideologia"",""Arrec_Prop"",""PIBpercapita"",""IDHM"",""tm"",""PERCENT_ganhador"",""TaxadeUrbanizaÁ„o"",""Sul"",""centro_Oeste"",""Sudeste"",""Nordeste"",""Norte"",""POP"",""LN_POP"",""RM"""
"53,""1200013"",""1 - Nort"",""12"",""3 - 10001 atÈ 20000"",""Acrel‚ndia"",""0"",""2012"",""12"",""0.0000000000"","" 32.382097"",""2012"","" 0"",""0"","" 8"",""2.121645"",""7.88"",""  67.732364"","" 12185.0600"",""0.604"",""0.25674455"",""0.485734"",""0.475000"",""0"",""0"",""0"",""0"",""1"",""   6536"","" 8.785081"",""0"""
"54,""1200054"",""1 - Nort"",""12"",""2 - 5001 atÈ 10000"",""Assis Brasil"",""1"",""2002"","" 2"",""0.0000000000"","" 49.828172"",""-"","" 0"",""1"","" 0"",""1.707807"",""1.89"",""  23.129452"",""  2118.0768"",""0.425"",""0.47043938"",""0.585546"",""0.616000"",""0"",""0"",""0"",""0"",""1"",""   2918"","" 7.978654"",""0"""
"55,""1200104"",""1 - Nort"",""12"",""4 - 20001 atÈ 50000"",""BrasilÈia"",""0"",""2012"",""12"",""0.0027315372"","" 33.589222"",""2013"","" 0"",""1"",""12"",""1.558264"",""3.83"",""  29.102275"",""  8811.3700"",""0.614"",""0.34351717"",""0.654052"",""0.642000"",""0"",""0"",""0"",""0"",""1"",""  13946"","" 9.542948"",""0"""
"56,""1200138"",""1 - Nort"",""12"",""2 - 5001 atÈ 10000"",""Bujari"",""0"",""2012"",""12"",""          NA"",""        NA"",""-"","" 0"",""1"","" 9"",""1.879751"",""6.12"",""  36.546447"","" 15731.5500"",""0.589"",""0.20643533"",""0.531985"",""0.464000"",""0"",""0"",""0"",""0"",""1"",""   4392"","" 8.387540"",""0"""
"57,""1200179"",""1 - Nort"",""12"",""2 - 5001 atÈ 10000"",""Capixaba"",""0"",""2012"",""12"",""          NA"",""        NA"",""2013"","" 0"",""1"","" 6"",""1.678656"",""3.83"",""  22.894423"",""  9276.5200"",""0.549"",""0.33730832"",""0.595715"",""0.373000"",""0"",""0"",""0"",""0"",""1"",""   3109"","" 8.042056"",""0"""
"58,""1200203"",""1 - Nort"",""12"",""5 - 50001 atÈ 100000"",""Cruzeiro do Sul"",""0"",""2012"",""12"",""0.7022932339"","" 20.518622"",""N„o soube informar"",""NA"",""1"",""11"",""2.263314"",""6.12"",""  87.486601"",""  7770.8300"",""0.713"",""0.37171408"",""0.478604"",""0.689000"",""0"",""0"",""0"",""0"",""1"",""  58922"",""10.983970"",""0"""
"59,""1200252"",""1 - Nort"",""12"",""3 - 10001 atÈ 20000"",""Epitaciol‚ndia"",""0"",""2012"",""12"",""          NA"",""        NA"",""2014"","" 0"",""1"","" 5"",""3.229937"",""3.55"",""  56.095222"",""  9165.3200"",""0.623"",""0.31137362"",""0.344172"",""0.687000"",""0"",""0"",""0"",""0"",""1"",""   9663"","" 9.176059"",""0"""
"60,""1200302"",""1 - Nort"",""12"",""4 - 20001 atÈ 50000"",""FeijÛ"",""0"",""2012"",""12"",""0.5197685488"","" 25.669066"",""2006"","" 0"",""1"","" 4"",""1.984163"",""3.83"","" 119.767582"",""  6233.8300"",""0.588"",""0.47319717"",""0.503991"",""0.503000"",""0"",""0"",""0"",""0"",""1"",""  23232"",""10.053286"",""0"""
"61,""1200328"",""1 - Nort"",""12"",""2 - 5001 atÈ 10000"",""Jord„o"",""0"",""2012"",""12"",""0.0658989123"","" 91.386883"",""2011"","" 0"",""1"","" 2"",""1.652927"",""3.83"",""  37.190655"",""  8426.8600"",""0.694"",""0.43085184"",""0.604987"",""0.286000"",""0"",""0"",""0"",""0"",""1"",""   3826"","" 8.249575"",""0"""
"62,""1200336"",""1 - Nort"",""12"",""3 - 10001 atÈ 20000"",""M‚ncio Lima"",""0"",""2012"",""12"",""0.7354992260"","" 30.644327"",""2001"",""11"",""0"","" 9"",""1.600168"",""6.12"",""  36.163839"",""  6131.3100"",""0.718"",""0.49344817"",""0.638329"",""0.592000"",""0"",""0"",""0"",""0"",""1"",""   8913"","" 9.095266"",""0"""
